"customer_id","total_spend"
405748,"325.00"
653984,"975.00"
79030,"780.00"
573001,"83.00"
325427,"215.00"
352579,"549.00"
196633,"621.00"
550583,"948.00"
549333,"249.00"
459500,"235.00"
329035,"715.00"
451918,"158.00"
31297,"414.00"
541532,"251.00"
482909,"621.00"
13520,"252.00"
342483,"876.00"
559663,"369.00"
125252,"679.00"
224251,"844.00"
143436,"281.00"
605482,"564.00"
584784,"823.00"
600660,"563.00"
464917,"297.00"
430221,"901.00"
99743,"715.00"
301441,"462.00"
279403,"951.00"
587161,"409.00"
424793,"335.00"
175014,"209.00"
81206,"158.00"
640236,"113.00"
568043,"129.00"
32321,"744.00"
457361,"342.00"
354932,"232.00"
237626,"821.00"
454754,"284.00"
228718,"725.00"
203969,"809.00"
182659,"327.00"
644033,"562.00"
73690,"641.00"
480027,"230.00"
184881,"724.00"
653504,"297.00"
456587,"668.00"
376666,"535.00"
585815,"359.00"
7499,"470.00"
404150,"792.00"
265654,"943.00"
558106,"168.00"
135209,"260.00"
84574,"439.00"
512380,"615.00"
236800,"307.00"
431163,"554.00"
64715,"901.00"
283945,"62.00"
165572,"909.00"
618256,"449.00"
420323,"590.00"
298415,"130.00"
249531,"120.00"
612029,"919.00"
412448,"907.00"
346436,"394.00"
575619,"343.00"
188616,"942.00"
472494,"345.00"
562330,"315.00"
634737,"191.00"
499864,"347.00"
160602,"871.00"
568071,"145.00"
421567,"519.00"
69779,"864.00"
263548,"353.00"
563726,"151.00"
283492,"88.00"
462989,"795.00"
610736,"844.00"
134573,"217.00"
271998,"839.00"
651028,"403.00"
583434,"569.00"
94397,"107.00"
517080,"507.00"
596827,"818.00"
307743,"518.00"
259821,"930.00"
393913,"489.00"
277807,"731.00"
72130,"540.00"
89549,"880.00"
572381,"404.00"
327193,"293.00"
563751,"615.00"
563046,"561.00"
39115,"732.00"
654292,"97.00"
396929,"789.00"
413360,"769.00"
341454,"309.00"
325564,"611.00"
615761,"94.00"
424107,"276.00"
627509,"936.00"
619960,"913.00"
358171,"537.00"
13273,"740.00"
71159,"972.00"
553360,"889.00"
412715,"979.00"
292437,"887.00"
4689,"121.00"
400607,"259.00"
598801,"694.00"
457672,"645.00"
388056,"339.00"
202547,"305.00"
474731,"327.00"
299958,"155.00"
120516,"963.00"
161340,"488.00"
52799,"470.00"
44061,"897.00"
523863,"608.00"
441325,"553.00"
525658,"219.00"
204414,"282.00"
42400,"226.00"
440593,"988.00"
529911,"80.00"
271394,"586.00"
