4993,100711,2014/3/8,840
4994,426395,2014/1/12,288
4995,488294,2013/11/29,697
4996,121224,2014/1/19,740
4997,216245,2014/3/15,701
4998,5412,2014/6/14,770
4999,363518,2014/10/19,269
5000,447242,2014/5/2,364
5001,276416,2013/12/23,466
5002,299687,2013/11/22,359
5003,282812,2014/6/17,900
5004,101780,2014/9/20,1200
5005,298330,2014/2/6,136
5006,26115,2013/12/19,782
5007,518138,2014/2/10,489
5008,199958,2014/3/29,681
5009,136135,2014/9/1,306
5010,49655,2014/4/23,535
5011,267377,2014/1/15,465
5012,450572,2014/9/22,197
5013,527450,2014/3/13,668
5014,207187,2014/3/12,573
5015,245830,2014/1/26,982
5016,388034,2014/2/25,234
5017,251650,2014/2/18,518
5018,267496,2014/7/3,663
5019,634090,2014/7/8,418
5020,6581,2014/7/13,428
5021,221067,2014/2/25,280
5022,373497,2014/2/28,782
5023,156306,2014/2/7,430
5024,275105,2014/2/1,131
5025,288740,2013/11/19,949
5026,397402,2014/3/14,473
5027,381013,2014/9/5,704
5028,34835,2014/3/26,799
5029,198331,2014/4/21,537
5030,153390,2014/9/13,967
5031,210431,2014/8/25,713
5032,77071,2014/1/21,398
5033,489298,2014/9/21,737
5034,48348,2013/12/8,776
5035,384361,2014/8/22,712
5036,222677,2014/9/16,797
5037,506076,2014/4/11,692
5038,462042,2014/10/22,982
5039,344876,2014/8/4,776
5040,267686,2014/6/24,117
5041,345910,2014/9/3,786
5042,579249,2014/7/7,701
5043,203734,2014/4/20,988
5044,108822,2014/10/18,130
5045,530273,2013/12/14,965
5046,240869,2014/7/2,681
5047,436186,2014/11/16,94
5048,390205,2014/4/19,488
5049,390449,2014/2/2,60
5050,395208,2014/3/11,891
5051,659879,2014/11/7,720
5052,209652,2014/4/6,336
5053,469828,2014/7/16,679
5054,79118,2013/11/23,294
5055,69292,2014/7/2,236
5056,568391,2014/6/11,748
5057,451728,2013/12/29,505
5058,541416,2014/10/20,666
5059,414184,2014/4/23,832
5060,414173,2014/7/1,299
5061,504064,2014/1/18,573
5062,533458,2014/4/11,337
5063,559726,2013/12/13,552
5064,312023,2014/7/12,129
5065,303766,2014/5/11,657
5066,143108,2014/6/10,300
5067,573576,2013/12/21,633
5068,494453,2013/12/24,438
5069,599138,2014/6/27,342
5070,157736,2014/1/25,619
5071,435014,2013/12/13,836
5072,455802,2013/12/13,180
5073,28089,2014/7/5,564
5074,262340,2014/5/18,427
5075,258871,2014/6/4,352
5076,302951,2013/12/22,662
5077,591726,2014/7/13,561
5078,239211,2014/8/17,512
5079,52408,2014/10/12,702
5080,181228,2014/2/8,597
5081,59056,2014/3/18,445
5082,349731,2014/11/10,958
5083,467212,2014/6/25,76
5084,535170,2014/3/24,830
5085,188241,2014/5/13,153
5086,88744,2014/3/7,86
5087,605899,2014/9/29,454
5088,251494,2014/8/25,369
5089,219814,2014/8/12,662
5090,570791,2014/3/18,902
5091,489450,2014/10/24,756
5092,306275,2014/5/18,299
5093,502099,2014/5/30,814
5094,463607,2014/7/16,787
5095,633130,2014/7/3,617
5096,440593,2013/12/3,988
5097,363459,2014/7/14,245
5098,137547,2013/12/3,308
5099,244722,2014/3/26,869
5100,356842,2014/6/28,867
5101,153357,2014/2/11,232
5102,293176,2014/7/23,924
5103,408200,2014/2/18,631
5104,302515,2014/4/5,708
5105,604223,2014/11/12,409
5106,295291,2014/7/12,872
5107,68425,2014/4/23,151
5108,199630,2014/11/11,441
5109,119730,2014/3/31,788
